tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,gold_intent,notes,ai_intent,ai_reason
1425432,451160,True,Thu Nov 02 04:20:00 +0000 2017,"@Uber_Support Hi , unfortunately they replied back with  standard template before I reached out to you. Could you please let me know how 2 resolve this",1425434,1425431.0,fare_or_charge_issue,,,
1330069,430321,True,Fri Oct 27 11:59:53 +0000 2017,@115877 @115877 I appreciate an immediate response and support on this issue,1330068,1330070.0,other_support_issue,,,
1783984,536018,True,Wed Oct 11 09:54:30 +0000 2017,Hi @Uber_Support how can I report an unexpected trip transfer?,1783983,,trip_issue,,,
2492461,711559,True,Wed Nov 15 18:01:11 +0000 2017,Uber's  @Uber_Support  service is going from bad to worse as Mr Mahendra KA04D6371 did not receive call neither turned up for the pickup even after waiting for 20 mins. Kindly revert with a strong reason for this nonsense service. But on the other hand thank you @1143,2492459,,driver_issue,,,
2695139,757397,True,Sat Nov 18 18:01:26 +0000 2017,@Uber_Support I had a super frustrating ubereats experience last night. Close to never using it again. How do I get in contact with you guys?,2695138,,uber_eats_issue,,,
1592108,489404,True,Sun Nov 05 00:47:58 +0000 2017,So we finally UberEATS @65047 but they didn’t give me pudding after I paid extra for it ☹️,1592106,,uber_eats_issue,,,
1585231,487758,True,Tue Oct 17 07:43:42 +0000 2017,@115873 kindly look into your operations in Malaysia. Both Riders and Drivers are complaining of service aptitude.,1585230,,driver_issue,,,
521803,240481,True,Sat Dec 02 01:19:09 +0000 2017,@2006 are you guys doing ride pass this month??? Would love to get that email has been very helpful to me and my family,521802,,other_support_issue,,,
532699,243396,True,Sat Dec 02 11:25:07 +0000 2017,"@Uber_Support my uber cancelled on me and still charged me, how do I get a refund?",532698,,refund_request,,,
1485806,465041,True,Sat Oct 28 21:07:59 +0000 2017,@115873 I emailed you guys through the help tab in my uber app can you please fix my account!!!! 😩,1485805,,account_access_issue,,,
701779,287555,True,Thu Nov 23 17:09:50 +0000 2017,@Uber_Support your cabs never reach on time . Y the hell you provide coupons,701778,,driver_issue,,driver_issue,
1375034,298259,True,Sat Oct 28 00:30:17 +0000 2017,@115877 WHERE THE FUCK IS MY FOOD YOU ABSOLUTE CUNTS?,1375033,,uber_eats_issue,,uber_eats_issue,
529222,242536,True,Sat Dec 02 09:08:31 +0000 2017,@Uber_Support I’m not giving you personal information. I did not request an Uber or use your app. Your driver had NO business being on my property.,529220,529223.0,driver_issue,,driver_issue,
